CHAVEAMENTOS: 16389
TME: 7344.40
TMR: 26475.10
VAZAO: 0.049879
TERMINO: t1 t2 t3
DIAGRAMA DE EVENTOS
3560 1000 QUANTUM_EX
3560 1001 EXEC
3570 1001 QUANTUM_EX
3570 1000 EXEC
3580 1000 QUANTUM_EX
3580 1001 EXEC
3590 1001 QUANTUM_EX
3590 1000 EXEC
3600 1000 QUANTUM_EX
3600 1001 EXEC
3610 1001 QUANTUM_EX
3610 1000 EXEC
3620 1000 QUANTUM_EX
3620 1001 EXEC
3630 1001 QUANTUM_EX
3630 1000 EXEC
3640 1000 QUANTUM_EX
3640 1001 EXEC
3650 1001 QUANTUM_EX
3650 1000 EXEC
3660 1000 QUANTUM_EX
3660 1001 EXEC
3670 1001 QUANTUM_EX
3670 1000 EXEC
3680 1000 QUANTUM_EX
3680 1001 EXEC
3690 1001 QUANTUM_EX
3690 1000 EXEC
3700 1000 QUANTUM_EX
3700 1001 EXEC
3710 1001 QUANTUM_EX
3710 1000 EXEC
3720 1000 QUANTUM_EX
3720 1001 EXEC
3730 1001 QUANTUM_EX
3730 1000 EXEC
3740 1000 QUANTUM_EX
3740 1001 EXEC
3750 1001 QUANTUM_EX
3750 1000 EXEC
3760 1000 QUANTUM_EX
3760 1001 EXEC
3770 1001 QUANTUM_EX
3770 1000 EXEC
3780 1000 QUANTUM_EX
3780 1001 EXEC
3790 1001 QUANTUM_EX
3790 1000 EXEC
3800 1000 QUANTUM_EX
3800 1001 EXEC
3810 1001 QUANTUM_EX
3810 1000 EXEC
3820 1000 QUANTUM_EX
3820 1001 EXEC
3830 1001 QUANTUM_EX
3830 1000 EXEC
3840 1000 QUANTUM_EX
3840 1001 EXEC
3850 1001 QUANTUM_EX
3850 1000 EXEC
3860 1000 QUANTUM_EX
3860 1001 EXEC
3870 1001 QUANTUM_EX
3870 1000 EXEC
3880 1000 QUANTUM_EX
3880 1001 EXEC
3890 1001 QUANTUM_EX
3890 1000 EXEC
3900 1000 QUANTUM_EX
3900 1001 EXEC
3910 1001 QUANTUM_EX
3910 1000 EXEC
3920 1000 QUANTUM_EX
3920 1001 EXEC
3930 1001 QUANTUM_EX
3930 1000 EXEC
3940 1000 QUANTUM_EX
3940 1001 EXEC
3950 1001 QUANTUM_EX
3950 1000 EXEC
3960 1000 QUANTUM_EX
3960 1001 EXEC
3965 1001 BLOQUEIO
3965 1000 EXEC
3975 1000 QUANTUM_EX
3985 1000 QUANTUM_EX
3995 1000 QUANTUM_EX
4005 1000 QUANTUM_EX
4015 1000 QUANTUM_EX
4025 1000 QUANTUM_EX
4035 1000 QUANTUM_EX
4045 1000 QUANTUM_EX
4055 1000 QUANTUM_EX
4065 1000 QUANTUM_EX
4075 1000 QUANTUM_EX
4085 1000 QUANTUM_EX
4095 1000 QUANTUM_EX
4105 1000 QUANTUM_EX
4115 1000 QUANTUM_EX
4125 1000 QUANTUM_EX
4135 1000 QUANTUM_EX
4145 1000 QUANTUM_EX
4155 1000 QUANTUM_EX
4165 1000 QUANTUM_EX
4175 1000 QUANTUM_EX
4185 1000 QUANTUM_EX
4195 1000 QUANTUM_EX
